# provenance
# target	aptus data-acquisition brief target 1 — Fiori Apps Library reference data
# source_url	https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/services/SingleApp.xsodata
# source_ui	https://fal.cloud.sap/  (SAP Fiori Apps Reference Library, FAL 2.0)
# entity_sets_read	FuzzySearch (app master), RequiredODataServices, BusinessCatalogPerApp, Releases
# release_filter	releaseId eq 'S37'  = Releases.releaseName "S/4HANA Cloud 2608", externalName "2608", releaseType SC
# release_group	all 5854 rows carry releaseGroupText "SAP S/4HANA Public Cloud" (no other group present under S37)
# date_read	2026-09-07
# completeness	complete for this filter: FuzzySearch/$count?$filter=releaseId eq 'S37' returned 5854 and 5854 rows were paged out; 5854 distinct app_id, no duplicates.
# completeness_caveat	floor with respect to SAP overall: only apps FAL publishes under release S37 are here. Apps SAP has not attached to this release, and any app absent from FAL, are not counted and their number cannot be measured from this service.
# access_method	anonymous OData v2 reads of the Fiori Apps Library's own published data service ($top/$skip/$select/$orderby). No login, no DOM scraping, no api.sap.com traffic.
# column_source	app_id=FuzzySearch.fioriId
# column_source	app_name=FuzzySearch.AppName
# column_source	app_type=FuzzySearch.AppType (FAL "App Type"; UITechnology and AppTypeLevel are separate FAL fields, not merged in)
# column_source	lob=FuzzySearch.GTMLoBName (FAL "Line of Business" filter field). FAL also publishes LeadingLob (single-valued, non-empty on 2172 rows vs 2053 here); the two were NOT merged.
# column_source	business_catalog_ids=BusinessCatalogPerApp.BusinessCatalogName, pipe-joined
# column_source	business_role_ids=FuzzySearch.BusinessRoleName, pipe-joined (SAP_BR_* technical role ids)
# column_source	odata_services=RequiredODataServices.TechnicalName (OData V2/V4 services) UNION FuzzySearch.ODataV4GroupServiceName (V4 service groups), pipe-joined, V2/V4-service names first
# column_source	required_scope_item_ids=FuzzySearch.ScopeItemID, re-joined with "|" (SAP already pipe-delimits this field)
# column_source	product_version=FuzzySearch.ProductVersionOfficialNameUI
# column_source	availability=FuzzySearch.isPublished (values observed: Published, Deprecated). FAL's availabilityInFaaS field is "false" on all 5854 rows and was not used.
# column_source	device_types=FuzzySearch.FormFactors
# column_source	app_hub_url=constructed from SAP's own FAL 1.0->2.0 parameter map published at /sap/fix/externalViewer/ (appid->app-id, releaseId->release-version). DERIVED URL, not a field SAP returns.
# multivalue_delimiter	| (pipe) on every multi-valued column. SAP returns app_type, lob and device_types comma-separated and required_scope_item_ids pipe-separated; the delimiter was normalised to | and no value was otherwise altered.
# empty	an empty cell means the field was empty in the source, never that it was unknown or dropped
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated.
app_id	app_name	app_type	lob	business_catalog_ids	business_role_ids	odata_services	required_scope_item_ids	product_version	availability	device_types	app_hub_url
/AIF/VMAP_CONF	Configure Value Mapping	SAP GUI		SAP_CA_BC_COM_EXT_ERR_PC	SAP_BR_CONF_EXPERT_BUS_NET_INT			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Smartphone|Tablet	https://fal.cloud.sap/?app-id=/AIF/VMAP_CONF&release-version=S37
/AIFX/WDA_MSG_MONITOR (/AIFX/WDAC_MSG_MONITOR)	Message Dashboard - SAP Application Interface Framework	Web Dynpro		SAP_CA_BC_COM_ERR_PC	SAP_BR_ADMIN_APR_FICA|SAP_BR_APR_ACCOUNTANT_FICA|SAP_BR_CONF_EXPERT_BUS_NET_INT|SAP_BR_CREDIT_CONTROLLER|SAP_BR_SOLN_ORDER_SPCLST			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Smartphone|Tablet	https://fal.cloud.sap/?app-id=/AIFX/WDA_MSG_MONITOR (/AIFX/WDAC_MSG_MONITOR)&release-version=S37
/ATL/CHCKUPD_RES	Updated Residues For Bank Account Number - Israel	SAP GUI		SAP_FIN_BC_CM_BANK_ACC_IL_PC	SAP_BR_CASH_SPECIALIST_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/CHCKUPD_RES&release-version=S37
/ATL/F6111_MANAGE	Prepare Form 6111 - Israel	SAP GUI		SAP_FIN_BC_GL_REP_IL_PC	SAP_BR_GL_ACCOUNTANT_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/F6111_MANAGE&release-version=S37
/ATL/GLVA	Import Index Value - Israel	SAP GUI		SAP_FIN_BC_AA_UTIL_IL_PC	SAP_BR_AA_ACCOUNTANT_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/GLVA&release-version=S37
/ATL/LBNKA_LOAD	Bank Master Data Upload - Israel	SAP GUI		SAP_FIN_BC_CM_BANK_ACC_IL_PC	SAP_BR_CASH_SPECIALIST_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/LBNKA_LOAD&release-version=S37
/ATL/LCHK_VBNKA	Update Residues & Bank Account Length - Israel	SAP GUI		SAP_FIN_BC_CM_BANK_ACC_IL_PC	SAP_BR_CASH_SPECIALIST_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/LCHK_VBNKA&release-version=S37
/ATL/UPLOAD_CUSTTAB	Upload data into customizing tables - Israel	SAP GUI		SAP_FIN_BC_ACS_REP_IL_PC	SAP_BR_ACS_AUDITOR_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/UPLOAD_CUSTTAB&release-version=S37
/ATL/VK04	Update Extended Withholding Tax Codes - Israel	SAP GUI		SAP_FIN_BC_AP_TAX_UTIL_IL_PC	SAP_BR_AP_ACCOUNTANT_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/VK04&release-version=S37
/ATL/VQ22	Vendors File to Shaam - Israel	SAP GUI		SAP_FIN_BC_AP_TAX_UTIL_IL_PC	SAP_BR_AP_ACCOUNTANT_IL			SAP S/4HANA Cloud Public Edition 2608	Published	Desktop|Tablet	https://fal.cloud.sap/?app-id=/ATL/VQ22&release-version=S37
